                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.1365,                0.48842,                0.12079,                 0.5857,                0.44008,                0.45566,                 0.2734,                 2.7312,                0.55575,                0.06605,                 0.0001,                 0.0001,                 0.0001
                     36,                  3.135,                0.48758,                0.12304,                0.58454,                0.44208,                0.45738,                0.27424,                 2.7299,                0.55534,                 0.0657,                 0.0001,                 0.0001,                 0.0001
                     37,                 3.1325,                 0.4908,                0.11738,                0.59454,                 0.4432,                0.46013,                0.27602,                 2.7281,                0.55444,                0.06552,                 0.0001,                 0.0001,                 0.0001
                     38,                 3.1276,                0.48946,                0.11974,                0.59243,                0.44571,                0.46416,                0.27851,                  2.725,                0.55467,                0.06524,                 0.0001,                 0.0001,                 0.0001
                     39,                 3.1304,                0.48717,                0.12507,                0.59259,                0.44609,                0.46466,                 0.2783,                 2.7225,                0.55458,                0.06488,                 0.0001,                 0.0001,                 0.0001
                     40,                 3.1424,                0.48776,                0.12301,                0.59458,                 0.4467,                0.46683,                0.27912,                 2.7215,                0.55468,                0.06462,                 0.0001,                 0.0001,                 0.0001
                     41,                 3.1066,                0.48819,                0.11851,                0.60224,                0.44853,                0.47124,                0.28068,                 2.7198,                0.55484,                0.06473,                 0.0001,                 0.0001,                 0.0001
                     42,                 3.1248,                0.48568,                0.11996,                0.60017,                0.45061,                0.47242,                0.28048,                 2.7197,                0.55513,                0.06463,                 0.0001,                 0.0001,                 0.0001
                     43,                 3.1199,                0.48708,                0.11679,                0.60077,                0.45246,                 0.4733,                0.28079,                 2.7188,                0.55532,                0.06476,                 0.0001,                 0.0001,                 0.0001
                     44,                 3.1295,                0.48544,                0.12028,                0.60126,                0.45332,                0.47376,                0.28111,                 2.7174,                0.55498,                0.06447,                 0.0001,                 0.0001,                 0.0001
                     45,                 3.1035,                0.49022,                0.11549,                0.59516,                0.45765,                0.47631,                0.28303,                 2.6862,                0.55419,                0.06397,                 0.0001,                 0.0001,                 0.0001
                     46,                 3.1156,                0.48497,                0.11763,                0.60056,                0.45838,                0.47756,                0.28474,                 2.6846,                0.55358,                 0.0639,                 0.0001,                 0.0001,                 0.0001
